top-left-square,top-middle-square,top-right-square,middle-left-square,middle-middle-square,middle-right-square,bottom-left-square,bottom-middle-square,bottom-right-square,Class
o,b,x,x,b,x,o,o,x,positive
o,x,b,o,x,o,x,x,b,positive
x,b,o,x,x,o,x,o,b,positive
o,b,x,x,x,o,x,b,o,positive
x,b,b,b,x,o,b,o,x,positive
b,o,b,o,b,b,x,x,x,positive
o,b,x,o,x,x,b,o,x,positive
x,o,o,b,x,o,b,x,x,positive
o,x,b,o,x,b,b,x,b,positive
o,b,b,b,b,o,x,x,x,positive
x,x,x,o,o,b,b,o,x,positive
x,x,o,b,x,b,o,o,x,positive
x,b,o,x,o,b,x,o,x,positive
o,x,x,o,x,o,x,b,b,positive
x,x,x,o,x,o,o,b,b,positive
o,o,b,x,x,x,b,x,o,positive
x,x,x,o,x,o,o,x,o,positive
o,x,x,b,x,o,o,x,b,positive
b,x,o,x,x,x,b,o,o,positive
b,x,b,o,x,o,b,x,b,positive
x,x,x,o,x,o,x,o,o,positive
b,b,x,o,x,b,x,b,o,positive
x,o,x,o,x,b,x,o,b,positive
x,o,b,b,x,o,o,x,x,positive
x,o,x,o,x,o,x,x,o,positive
b,x,b,o,x,o,o,x,x,positive
b,o,x,b,o,o,x,x,x,positive
b,o,b,x,o,o,x,x,x,positive
o,o,x,b,x,x,o,b,x,positive
b,o,x,o,b,x,x,o,x,positive
x,o,o,o,x,o,x,x,x,positive
b,x,x,b,x,o,x,o,o,positive
x,b,o,x,b,o,x,b,b,positive
b,x,o,b,x,b,b,x,o,positive
x,b,b,o,x,b,o,b,x,positive
x,b,b,o,x,x,o,o,x,positive
x,o,b,x,x,b,o,o,x,positive
b,o,x,o,x,b,x,o,x,positive
o,o,x,b,b,x,b,b,x,positive
o,o,x,x,x,x,b,b,o,positive
b,o,x,o,x,x,b,o,x,positive
o,x,x,b,x,o,b,x,o,positive
b,b,b,o,b,o,x,x,x,positive
x,x,x,b,b,o,b,b,o,positive
x,x,o,o,o,o,x,x,b,negative
