top-left-square,top-middle-square,top-right-square,middle-left-square,middle-middle-square,middle-right-square,bottom-left-square,bottom-middle-square,bottom-right-square,Class
b,b,b,x,x,x,b,o,o,positive
b,o,o,o,b,x,x,x,x,positive
o,o,b,b,b,b,x,x,x,positive
b,b,x,x,o,x,o,o,x,positive
o,b,x,o,b,o,x,x,x,positive
x,x,x,b,o,o,b,x,o,positive
x,x,x,x,b,o,o,o,b,positive
o,b,o,x,x,x,b,b,b,positive
x,b,b,x,x,o,o,o,x,positive
o,b,o,o,b,x,x,x,x,positive
b,x,b,o,x,b,o,x,b,positive
b,o,o,x,o,b,x,x,x,positive
x,o,x,o,x,o,x,b,b,positive
o,b,b,o,o,x,x,x,x,positive
o,x,b,x,x,x,o,b,o,positive
x,o,b,b,x,o,b,b,x,positive
x,o,x,b,b,x,o,o,x,positive
o,o,x,x,x,o,x,b,b,positive
x,o,x,o,x,x,x,o,o,positive
o,b,x,o,o,x,b,x,x,positive
b,o,b,x,x,x,b,o,b,positive
x,x,o,o,x,b,o,b,x,positive
b,o,b,x,x,x,b,b,o,positive
x,x,o,o,x,o,x,o,x,positive
b,x,x,b,x,o,o,x,o,positive
b,o,x,x,x,x,o,b,o,positive
x,x,x,o,o,x,o,x,o,positive
x,x,o,o,x,b,b,x,o,positive
o,x,x,o,x,x,x,o,o,positive
x,o,o,x,b,x,x,o,b,positive
b,o,x,o,o,b,x,x,x,positive
x,o,b,b,x,b,b,o,x,positive
b,b,x,b,b,x,o,o,x,positive
b,o,x,o,b,o,x,x,x,positive
x,o,b,x,x,o,o,b,x,positive
x,b,b,b,x,o,o,b,x,positive
b,o,x,x,x,o,x,o,b,positive
x,b,o,o,x,b,o,x,x,positive
x,x,x,b,b,b,o,b,o,positive
o,b,x,o,x,b,x,b,b,positive
x,o,o,x,x,o,o,x,x,positive
o,o,x,x,x,o,x,x,o,positive
o,x,o,b,x,x,o,x,b,positive
b,x,x,o,b,x,o,o,x,positive
o,x,b,b,x,b,o,x,b,positive
o,x,b,x,x,x,b,o,o,positive
b,b,o,o,x,o,x,x,x,positive
o,o,x,x,x,b,x,o,b,positive
x,o,b,x,o,b,x,b,b,positive
x,x,x,o,b,b,b,b,o,positive
b,b,o,x,x,x,x,o,o,positive
b,o,x,o,x,o,x,b,x,positive
x,b,x,x,b,o,x,o,o,positive
x,b,b,o,x,o,o,x,x,positive
x,o,b,o,x,o,x,b,x,positive
x,o,b,x,x,b,x,o,o,positive
o,o,b,x,b,o,x,x,x,positive
o,x,o,x,x,x,o,o,x,positive
x,o,o,x,o,o,x,x,x,positive
x,x,x,b,o,x,o,o,b,positive
x,x,b,b,x,o,o,x,o,positive
b,x,x,o,x,o,o,x,b,positive
x,b,x,o,o,o,x,x,o,negative
b,o,b,b,o,x,x,o,x,negative
x,b,o,b,b,o,x,x,o,negative
x,b,x,o,o,o,x,o,x,negative
o,o,o,x,b,x,x,x,o,negative
o,x,b,x,o,x,x,o,o,negative
o,b,x,o,x,b,o,x,b,negative
x,b,b,o,o,o,x,x,b,negative
x,o,o,x,o,x,o,x,b,negative
o,x,x,x,o,x,o,b,o,negative
o,x,o,x,o,x,o,b,x,negative
o,b,x,o,x,b,o,b,x,negative
x,o,x,b,o,x,b,o,b,negative
o,x,x,o,o,x,x,b,o,negative
o,b,x,o,x,x,o,b,b,negative
x,b,b,o,o,o,x,b,x,negative
x,x,o,o,o,o,b,x,x,negative
o,o,x,x,o,b,x,x,o,negative
o,o,o,x,b,b,x,x,b,negative
x,x,o,o,o,x,o,b,x,negative
